epa_file_#,clean_date_received,recent_status_date,time_difference,named_entity,referred_agency,final_adjudication_&_reason,disc_basis_1,disc_basis_2,disc_basis_3,disc_basis_4,disc_basis_5,simplified_status_primary
01D-08-R5,2008-01-08,2008-06-06,150.0,"City of Bellville, St. Clair County",US Justice Department,"Denied - Claims, Referred",disability,,,,,rejected and referred
01R-00-R6,2000-04-13,2003-06-02,1145.0,Texas Natural Resources Conservation Commission ,,Pending,race, color, national origin,,,pending
01R-01-R2,2000-12-15,2001-08-24,252.0,City of Syracuse,,Denied - Untimely,race,,,,,rejected
01R-02-R6,2002-02-06,2003-01-16,344.0,"New Mexico Environment Dept. City of Santa Fe, Los Alamos National Lab",,"Denied - Financial, Untimely, Claims",race, color, national origin,,,rejected
01R-03-R10,2003-02-20,2003-05-23,92.0,City of Vancouver Development Review Services,,Denied - Financial,,,,,,rejected
01R-03-R10r,2003-12-13,2007-04-30,1234.0,City of Vancouver Mayor's Office,,Dismissed,retaliation,,,,,rejected
01R-04-R10,2004-01-20,2006-07-24,916.0,"Oregon Dept. of Environmental Quality, Washington Dept. of Ecology",,Denied - Untimely,race,,,,,rejected
01R-05-R4,2005-02-07,2005-12-06,302.0,Alabama Dept. of Environmental Management,,Denied - Moot,race,,,,,rejected
01R-06-R4,2006-04-06,2006-09-11,158.0,"North Carolina Dept. of Transportation, Alamance County Urban Area Transportation Improvement Program",,Denied - Financial,race,,,,,rejected
01R-07-R4,2007-02-10,2008-08-05,542.0,"City of Port St. Joe, Port St. Joe Redevelopment Agency",,"Denied - Financial, Claims",,,,,,rejected
01R-09-R4,2009-01-19,2010-09-09,598.0,"City of St. Augustine, State of Florida",,Pending,,,,,,pending
01R-11-R6,2010-09-24,2010-12-15,82.0,Southwestern Oklahoma Development Agency ,,Closed - Withdrawn,,,,,,closed: complaint withdrawn
01R-12-R4,2012-01-03,2012-09-26,267.0,Alabama Dept. of Environmental Management,,Dismissed without prejudice,race,,,,,rejected
01R-13-R5,2013-01-06,2013-04-16,100.0,Saginaw Wastewater Treatment Facility,US Justice Department,"Denied - Financial, Referred",,,,,,rejected and referred
01R-97-R9,1997-01-30,1997-05-09,99.0,"San Jose City Council, City of San Jose, San Jose Neighborhood Services Dept. ",,Denied - Financial,race, national origin,,,,rejected
01R-98-R3,1998-02-27,1999-07-26,514.0,Pennsylvania Dept. of Environmental Protection,,Denied - Moot,race,,,,,rejected
01R-99-R9,1999-01-19,1999-07-26,188.0,California EPA Dept. of Toxic Substances Control,,Denied - Untimely,race,,,,,rejected
01S-10-R3,2009-12-31,2010-03-26,85.0,"U.S. Air Force, Maryland Dept. of Transportation, Maryland Dept. of Transportation",Equal Employment Opportunity Commission   ,Denied - Referred,sex,,,,,rejected and referred
01S-99-R9,1999-06-04,,,,Oakland Local Office of the EEOC,Closed - Referred,,,,,,rejected and referred
02R-00-R9,2000-04-14,2001-12-01,596.0,"Bay Area Air Quality Management District, California Air Resources Board, California Energy Commission",,Pending,race, low income,,,,pending
02R-01-R9,2000-12-12,2003-11-02,1055.0,Siskiyou County Air Pollution Control District,,Dismissed without prejudice,race, color, national origin,,,rejected
02R-02-R9,2002-01-28,2012-09-26,3894.0,Arizona Dept. of Environmental Quality ,,Dismissed,race, income,,,,rejected
02R-03-R4,2003-02-13,2003-04-25,71.0,Metro Nashville Board of Zoning Appeals,,Denied - Financial,race,,,,,rejected
02R-04-R4,2004-02-16,2005-06-13,483.0,Alabama Dept. of Environmental Management,,Closed - Withdrawn,,,,,,closed: complaint withdrawn
02R-05-R6,2004-09-15,2005-11-18,429.0,Hughes (Ark.) Water and Sewage Department,US Department of Agriculture,"Denied - Financial, Referred",race, sex,,,,rejected and referred
02R-06-R4,2006-04-19,2008-06-06,779.0,"Ohio EPA, City of Cincinnati Board of Health",,Denied - Untimely,race, low income,,,,rejected
02R-07-R10,2006-12-20,2008-01-09,385.0,Oregon Dept. of Public Lands,,Denied - Claims,race, color, national origin, age, retaliation,rejected
02R-08-R9,2008-01-11,2009-07-10,546.0,Arizona Dept. of Enviornmental Quality,,Denied - Untimely,race, low income,,,,rejected
02R-09-R6,2009-02-24,,,U.S. EPA,,Denied - Financial,race, color, national origin, age,,rejected
02R-11-R4,2011-02-17,2011-09-06,201.0,Escambia County Board of Commissioners,US Transportation Department,Closed - Referred,race, ethnicity, age,,,rejected and referred
02R-12-R6,2011-09-20,2012-05-15,238.0,Louisiana Dept. of Environmental Quality,,Denied - Claim,,,,,,rejected
02R-13-R3,2013-06-03,2013-07-24,51.0,State Correctional Institution at Greene,US Justice Department,Denied - Referred,religion, disability,,,,rejected and referred
02R-97-R6,1997-02-03,1997-06-02,119.0,Texas A&M's Animal Science Teaching Research and Extension Complex,,"Denied - Untimely, Litigation",race, national origin,,,,rejected
02R-98-R4,1998-01-20,1998-04-21,91.0,Jefferson County Commission,,Denied - Claims,race,,,,,rejected
02R-99-R9,1998-12-30,2003-06-16,1629.0,Hawaii Department of Health,,Dismissed,race,,,,,rejected
02Sar-10-R8,2009-03-24,2010-04-22,394.0,"Montana Secretary of State, Montana Dept. of Revenue and Montana Dept. of Environmental Quality",,Denied - Referred,sex, age,,,,rejected and referred
03D-08-R6,2008-03-13,2009-05-04,417.0,Texas Commission on Environmental Quality,,Denied - Moot,disability,,,,,rejected
03M-97-R3,1996-09-20,1997-06-23,276.0,Washington Suburban Sanitary Commission ,,Denied - Claims,race,,,,,rejected
03R-00-R4,2000-06-06,2001-09-19,470.0,"Metropolitan Sewer District, Kentucky Natural Resources Cabinet","EPA's Office of Environmental Justice, Solid Waste and Water",Denied - Claims,race,,,,,rejected
03R-01-R4,2000-11-29,,,"Thomas County Board of  Commissioners, Georgia Dept. of Natural Resources Environmental Protection Division",,"Denied - Financial, Untimely",race, income,,,,rejected
03R-03-R9,2003-07-21,2012-09-26,3355.0,Arizona Dept. of Environmental Quality ,,Dismissed,race, low income,,,,rejected
03R-04-R2,2004-04-09,2005-03-18,343.0,New York State Dept. of Environmental Conservation,,Dismissed,race,,,,,rejected
03R-05-R9,2005-03-22,2010-12-30,2109.0,Arizona Dept. of Environmental Quality,,Dismissed,race,,,,,rejected
03R-06-R5,2006-04-19,2013-04-23,2561.0,Illinois EPA ,,Closed - Settlement,race,,,,,resolved: agreement
03R-07-R9,2007-03-27,2008-05-27,427.0,"Arizona Dept. of Environmental Quality, Maricopa County Air Quality Dept.",,Pending,race, national origin,,,,pending
03R-09-R8,2008-04-23,2011-07-08,1171.0,National Older Worker Career Center,,Dismissed,sex, disability ,,,,rejected
03R-11-R4,2010-12-03,2011-11-09,341.0,"U.S. EPA,  Georgia Environmental Protection Division ",,Closed - Withdrawn,,,,,,closed: complaint withdrawn
03R-12-R9,2012-02-28,2013-01-14,321.0,Salinas Valley Solid Waste Authority ,,Pending,race, national origin, ethnic group identification ,,,pending
03R-13-R4,2013-01-10,2013-12-02,326.0,Georgia Dept. of Natural Resources; McIntosh County Board of Commissioners,,Denied - Referred,race, color, national origin,,,rejected and referred
03R-97-R9,1997-03-26,1997-04-18,23.0,California EPA Dept of Toxic Control Substances,EPA Headquarters and Region 9,Denied - Untimely,race, national origin,,,,rejected
03R-98-R6,1998-03-23,1998-04-21,29.0,"Arkansas Dept. of Pollution Control & Ecology, City of Warren",,"Denied - Financial, Claims",race,,,,,rejected
03R-99-R2,1999-01-26,2001-09-27,975.0,New York Dept. of Environmental Conservation,,Denied - Claims,race, national origin, religion,,,rejected
03Rr-10-R4,2009-08-03,2010-06-14,315.0,"Alabama Department of Transportation, Regional Planning Commission of Greater Birmingham ",US Transportation Department,Closed - Referred,race,,,,,rejected and referred
03S-02-R10,2002-03-01,2002-04-29,59.0,"Portland Bureau of Environmental Services, Portland City Council",,Denied - Untimely,gender,,,,,rejected
04D-97-R9,1996-12-27,1997-04-28,122.0,California Dept. of Conservation Division of Oil Gas & Geothermal Resources,"Equal Employment Opportunity Commission, US Justice Department",Closed - Referred,disability,,,,,rejected and referred
04Dr-12-R2,2012-03-19,2012-09-26,191.0,US Virgin Islands Dept. of Human Services Headstart & Preschool,,"Denied - Financial, Untimely",disability,,,,,rejected
04R-00-R8,2000-06-25,2001-08-03,404.0,State of Colorado,,"Denied - Untimely, Claims",race,,,,,rejected
04R-01-R10,,2001-08-13,,,,"Denied - Financial, Untimely, Claims",whistleblower,,,,,rejected
04R-02-R9,2002-03-12,2002-04-29,48.0,U.S. Marine Corps,,Denied - Financial,race, national origin,,,,rejected
04R-03-R2,2003-05-26,2003-10-20,147.0,"New Jersey Dept. of Transportation, Town of Neptune, NJ Dept. of Environmental Protection",,Denied - Financial,,,,,,rejected
04R-04-R6,1999-05-13,2005-06-13,2223.0,New Mexico Environment Dept. ,,Dismissed without prejudice,race, color, national origin, income,,rejected
04R-05-R4,2005-02-28,2005-11-22,267.0,"South Carolina Dept. of Health & Environmental Control, Newberry County Council ",,"Denied - Financial, Untimely",race,,,,,rejected
04R-06-R4,2006-03-28,2007-11-21,603.0,,,Denied,race, disability,,,,rejected
04R-07-R6,2007-04-05,2009-01-15,651.0,Corpus Christi City Council,,Closed - Agreement,race, income,,,,resolved: agreement
04R-08-R6,2008-05-20,2011-12-15,1304.0,Louisiana Dept. of Agriculture & Forestry,,Closed - Settlement,race, national origin,,,,resolved: agreement
04R-09-R9,2009-06-26,2010-05-20,328.0,Maricopa County Air Quality Dept.,,Denied - Moot,race,,,,,rejected
04R-10-R9,2009-08-03,2010-04-27,267.0,"California Resources Agency, State of California",,Closed - Referred,race, low income,,,,rejected and referred
04R-11-R4,2010-12-03,2011-10-12,313.0,"Alabama Dept. of Environmental Management, Lowndes County, Perry County",,Closed - Withdrawn,race, low income,,,,closed: complaint withdrawn
04R-13-R6,2012-12-26,2013-12-20,359.0,Walker County Texas Commissioners,,Denied - Financial,,,,,,rejected
04R-97-R6,1997-05-06,2005-04-04,2890.0,Louisiana Dept. of Enviornmental Quality,,Closed - Informally Resolved,race, color,,,,resolved: agreement
04R-98-R5,1997-09-28,2003-03-24,2003.0,"Ohio EPA, City of Columbus",,Dismissed,race,,,,,rejected
04R-99-R2,1999-03-08,2001-03-01,724.0,New York City Dept. of Sanitation,,Denied - Claims,,,,,,rejected
05R-00-R6,2000-07-11,2003-11-03,1210.0,"Louisiana Dept. of Environmental Quality, State of Louisiana",,Dismissed without prejudice,race,,,,,rejected
05R-01-R6,2001-04-25,2001-10-18,176.0,"Oklahoma Dept. of Environmental Quality, City of Henryetta",,"Denied - Financial, Untimely",race, retaliation,,,,rejected
05R-02-R9,2002-04-19,2007-04-12,1819.0,"Arizona Emergency Response Commission, Maricopa County Local Emergency Planning ",,Closed - Withdrawn,race,,,,,closed: complaint withdrawn
05R-03-R6,2003-08-21,2009-10-15,2247.0,Oklahoma Dept. of Environmental Quality ,,Dismissed,race, national origin,,,,rejected
05R-04-R5,2004-05-23,2010-12-30,2412.0,Indiana Dept. of Environmental Management,,Dismissed,race, low income,,,,rejected
05R-05-R10,2005-02-11,2006-07-26,530.0,Oregon Dept. of Environmental Quality,,Denied - Untimely,race, national origin,,,,rejected
05R-06-R4,2006-05-22,2008-01-10,598.0,"Tennessee Dept. of Environment & Conservation, City of Clarksville",,Denied,,,,,,rejected
05R-07-R6,2007-06-09,2007-10-03,116.0,EPA Region 6,,Denied - Financial,race,,,,,rejected
05R-08-R8,2008-06-21,2011-02-04,958.0,South Dakota Dept. of Enviornmental and Natural Resources,,Dismissed,race,,,,,rejected
05R-09-R4,2009-07-11,2009-10-15,96.0,"Alabama Dept. of Environmental Management, Jefferson County Dept. of Enviornmental Service",,Denied - Claim,race,,,,,rejected
05R-11-R4,2011-01-27,2011-08-10,195.0,Travis County Commissioners Court,,Denied - Financial,race, national origin,,,,rejected
05R-12-R2,2011-06-24,2012-09-28,462.0,Puerto Rico Aqueduct and Sewer Authority,,Denied - Claim (referred),,,,,,rejected and referred
05R-13-R10,2013-02-01,2013-04-24,82.0,,,Denied - Claims,,,,,,rejected
05R-97-R1,1997-04-16,1997-10-30,197.0,Maine Dept. of Environmental Protection,,Closed - Withdrawn,retaliation,,,,,closed: complaint withdrawn
05R-98-R5,1998-06-09,1998-10-30,143.0,"Michigan Dept. of Environmental Quality, Air Quality Division",,Dismissed,race, low income,,,,rejected
05R-99-R6,1999-03-29,1999-12-27,273.0,City of Austin,,Denied - Financial,race,,,,,rejected
05Rad-10-R6,2010-02-22,2011-08-08,532.0,Louisiana Dept. of Environmental Quality,Federal Mediation and Conciliation Services,Dismissed without prejudice,race, disability, age,,,rejected
06Dr-12-R4,2012-01-07,2012-07-17,192.0,"Alabama Public Service Commission, Alabama State Personnel Dept.","Equal Employment Opportunity Commission, Birmingham District Office",Closed - Referred,disability, whistleblower status,,,,rejected and referred
06R-00-R2,2000-07-24,2001-09-27,430.0,New York City Dept. of Sanitation,,Denied - Untimely,race, low income,,,,rejected
06R-01-R9,2001-04-15,2001-10-15,183.0,Hawaii Dept. of Land and Natural Resources,,Denied - Moot,race, national origin,,,,rejected
06R-02-R6,2002-07-23,2006-07-26,1464.0,New Mexico Environment Dept.,,Dismissed,race,,,,,rejected
06R-03-R4,2003-09-03,2005-09-07,735.0,"Alabama Dept. of Environmental Management, Tallapoosa County Commission",,Pending,race, income,,,,pending
06R-04-R4,2004-05-24,2006-05-10,716.0,Atlanta Housing Authority,,"Denied - Financial, Untimely",,,,,,rejected
06R-05-R6,2005-05-23,,,Texas Railroad Commission,US Transportation Department,Denied - Financial,race,,,,,rejected
06R-06-R4,2006-06-23,2008-04-29,676.0,"U.S. Army Corps of Engineers, Tennessee Dept. of Environment & Conservation",,Denied - Claims,,,,,,rejected
06R-07-R9,2007-07-11,2008-05-27,321.0,Arizona Dept. of Environmental Quality,,Denied - Untimely,race,,,,,rejected
06R-08-R9,2008-08-15,2009-01-27,165.0,Maricopa County Air Quality Dept.,,Denied - Claims,race,,,,,rejected
06R-09-R9,2009-08-12,2010-05-20,281.0,Maricopa County Air Quality Dept.,EPA's Enforcement and Compliance National Compliance Monitoring Program ,Dismissed,race,,,,,rejected
06R-10-R10,2009-12-01,2010-06-15,196.0,"U.S. Army Corps of Engineers, City of Salem",,Denied - Untimely,low income,,,,,rejected
06R-11-R9,2011-07-11,2013-04-25,654.0,City of Phoenix,,Denied - Moot,race,,,,,rejected
06R-13-R2,2013-02-18,2013-09-19,213.0,U.S. Coast Guard,,Denied - Claims,race,,,,,rejected
06R-97-R6,1997-04-28,1997-07-02,65.0,"Hardage Site Remedy Corporation, Hardage Steering Committee, Hardage Criner Landfill",,Denied - Financial,race, national origin,,,,rejected
06R-98-R3,1998-05-28,1998-08-10,74.0,Virginia Dept. of Environmental Quality,,"Denied - Financial, Untimely",race, low income,,,,rejected
06R-99-R4,1999-03-16,1999-07-26,132.0,North Carolina Dept. of Environment & Natural Resources,,Denied - Financial,race,,,,,rejected
07H-02-R4,2002-06-07,2004-08-12,797.0,Lowndes County Board of Supervisors,,Denied - Financial,disability,,,,,rejected
07R-00-R2,2000-07-24,2001-09-27,430.0,New York City Dept. of Sanitation,,Denied - Untimely,race,,,,,rejected
07R-01-R6,2001-04-04,2002-03-01,331.0,,,Denied - Claims,,,,,,rejected
07R-03-R6,2003-09-12,2004-06-15,277.0,Texas Commission on Environmental Quality,,Denied - Untimely,race, income,,,,rejected
07R-04-R6,2004-08-31,2005-04-01,213.0,City of Houston,,Denied - Claims,,,,,,rejected
07R-05-R9,2005-06-11,2010-03-26,1749.0,"California EPA, Dept. of Toxic Substances Control ",,Dismissed - Moot,race, low income,,,,rejected
07R-06-R4,2006-06-23,2008-04-29,676.0,City of Clarksville,,Denied - Claims,race,,,,,rejected
07R-07-R6,2007-07-17,2008-02-14,212.0,Veolia Environmental Services,,Denied - Financial,race, low income,,,,rejected
07R-08-R6,2008-06-24,2012-09-28,1557.0,Galveston County Health District,,Dismissed,race,,,,,rejected
07R-09-R2,2009-04-11,2010-02-18,313.0,New York City Dept. of Environmental Protection,,Denied - Untimely,race,,,,,rejected
07R-11-R4,2011-05-13,2012-02-21,284.0,Georgia Dept. of Corrections ,"US Justice Department, Georgia Public Service Commission ",Closed - Referred,race,,,,,rejected and referred
07R-12-R4,2012-04-03,2013-07-23,476.0,North Carolina Dept. of Environmental & Natural Resources,,Denied- Claims,,,,,,rejected
07R-13-R9,2013-02-03,2013-12-20,320.0,Methodist Hospital,US Health and Human Services,"Denied - Financial, Referred",national origin, disability, retaliation,,,rejected and referred
07R-97-R6,1997-04-28,1997-07-24,87.0,Texas Natural Resource Conservation Commission ,EPA's Office of Enforcement and Compliance Assurance and Office of International Activities,Denied - Untimely,race, color, national origin, income,,rejected
07R-98-R6,1998-06-08,2005-04-18,2506.0,Louisiana Dept. of Environmental Quality,,Closed - Settlement,race,,,,,resolved: agreement
07R-99-R7,1999-03-23,1999-08-04,134.0,EPA Region 7,EPA's Office of Environmental Justice,Denied - Financial,race,,,,,rejected
08R-00-R4,2000-03-30,2000-10-30,214.0,White House Council on Environmental Quality,EPA's Office of Environmental Justice,Denied - Financial,race,,,,,rejected
08R-01-R5,2001-06-25,2006-06-23,1824.0,Michigan Dept. of Environmental Quality,,Closed - Informally Resolved,race,,,,,resolved: agreement
08R-02-R5,2000-01-11,2004-08-17,1680.0,,,"Denied - Financial, Claims",race,,,,,rejected
08R-03-R9,2003-09-24,2009-03-11,1995.0,Siskiyou County Air Pollution Control District,,Dismissed without prejudice,race, color, national origin,,,rejected
08R-04-R5,2004-06-04,2005-11-15,529.0,Michigan Dept. of Environmental Quality,,"Denied - Financial, Claims",income, education,,,,rejected
08R-05-R4,2005-05-17,2005-11-15,182.0,"Tennessee Dept. of Environment & Conservation, City of Clarksville",,Denied - Claims,,,,,,rejected
08R-06-R4,2006-06-20,2007-12-22,550.0,City of Clarksville,,Denied - Claims,,,,,,rejected
08R-07-R6,2006-10-27,2008-05-27,578.0,,,"Denied - Financial, Claims",,,,,,rejected
08R-09-R4,2009-02-24,2010-05-04,434.0,"South Carolina Dept. of Health & Enviornmental Control, City of Charleston",,Denied - Claims,,,,,,rejected
08R-10-R5,2010-04-08,2010-07-23,106.0,,,Denied - Claims,race, income,,,,rejected
